[dotenv@17.3.1] injecting env (18) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
✅ Background jobs started
✅ SKU Tracking System initialized
✅ Server running on port 4000
✅ MongoDB connected
✅ Default categories and brands seeded
>>> 2026-09-13T13:32:30.793Z GET /allproducts from ::1
>>> 2026-09-13T13:32:31.346Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:32:39.027Z GET /allproducts from ::1
>>> 2026-09-13T13:32:45.644Z GET /allproducts from ::1
>>> 2026-09-13T13:33:15.587Z GET /categories from ::1
>>> 2026-09-13T13:33:15.597Z GET /brands from ::1
>>> 2026-09-13T13:33:15.603Z GET /allproducts from ::1
>>> 2026-09-13T13:33:15.605Z GET /user/profile from ::1
>>> 2026-09-13T13:33:15.611Z GET /userfavorites from ::1
>>> 2026-09-13T13:33:16.153Z POST /getcart from ::1
>>> 2026-09-13T13:33:16.160Z GET /sizes from ::1
>>> 2026-09-13T13:33:16.161Z GET /getreviews/50 from ::1
>>> 2026-09-13T13:33:16.163Z GET /allproducts from ::1
>>> 2026-09-13T13:33:16.295Z GET /allproducts from ::1
>>> 2026-09-13T13:33:23.785Z GET /allproducts from ::1
>>> 2026-09-13T13:33:23.938Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:34:23.787Z GET /allproducts from ::1
>>> 2026-09-13T13:34:23.953Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:35:23.779Z GET /allproducts from ::1
>>> 2026-09-13T13:35:23.947Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:36:23.777Z GET /allproducts from ::1
>>> 2026-09-13T13:36:23.911Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:37:04.311Z GET /allproducts from ::1
>>> 2026-09-13T13:37:04.458Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:37:30.789Z GET /allproducts from ::1
>>> 2026-09-13T13:37:31.017Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:38:00.800Z GET /allproducts from ::1
>>> 2026-09-13T13:38:00.988Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:38:30.791Z GET /allproducts from ::1
>>> 2026-09-13T13:38:31.016Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:39:00.785Z GET /allproducts from ::1
>>> 2026-09-13T13:39:01.021Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:39:30.802Z GET /allproducts from ::1
>>> 2026-09-13T13:39:31.027Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:40:00.801Z GET /allproducts from ::1
>>> 2026-09-13T13:40:01.046Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:40:30.794Z GET /allproducts from ::1
>>> 2026-09-13T13:40:30.986Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T13:41:00.804Z GET /allproducts from ::1
>>> 2026-09-13T13:41:01.037Z GET /admin/orders?limit=30 from ::1
